歌曲,歌手,連結,歌詞
不需要知道 - 電視劇<我的男孩>片尾曲,韋禮安 (WeiBird),https://www.kkbox.com/tw/tc/song/fjn00SYLIG3f4KPJf4KPJ0XL-index.html,
灰色 (The Gray),徐佳瑩 (LaLa Hsu),https://www.kkbox.com/tw/tc/song/saa00a10cK3uUKuNuUKuN0XL-index.html,
地痞 (Hooligan),頑童MJ116,https://www.kkbox.com/tw/tc/song/fFc00Q3.Z8ncl7DXcl7DX0XL-index.html,
另一個童話,G.E.M.鄧紫棋,https://www.kkbox.com/tw/tc/song/4Sw0080SNDJBxfGdBxfGd0XL-index.html,
就這樣 (That Is It),李榮浩,https://www.kkbox.com/tw/tc/song/2Jf00QPSsXYdhIfidhIfi0XL-index.html,
走到飛,熊仔 大支 呂士軒 ØZI 吳卓源 Barry,https://www.kkbox.com/tw/tc/song/bhm00YPOKaIpbk-Gpbk-G0XL-index.html,
裝醉,aMEI (張惠妹),https://www.kkbox.com/tw/tc/song/AJ800KPE4C3UxInjUxInj0XL-index.html,
聊傷 (Scars) - 電視劇<1006的房客>片尾曲,畢書盡 (Bii),https://www.kkbox.com/tw/tc/song/i.x00T9YHGJggaxLggaxL0XL-index.html,
你會在哪呢,蕭敬騰 (Jam Hsiao),https://www.kkbox.com/tw/tc/song/1yTjC00w3PZ13DyJ3DyJ30X4-index.html,
凡人 (Mortal),蕭秉治Xiao Bing Chih,https://www.kkbox.com/tw/tc/song/B4j00COSHGnIzmQ9IzmQ90XL-index.html,
飆高速 BIAOGAOSU,頑童MJ116,https://www.kkbox.com/tw/tc/song/WfO00PnSWaIcA2eWcA2eW0XL-index.html,
Better Believe Me (Remix),陳嘉唯 (Renee Chen) 頑童MJ116,https://www.kkbox.com/tw/tc/song/rMM00LrSnMIYRsFOYRsFO0XL-index.html,
沒那麼脆弱 (Fragile) - 韓劇<名不虛傳>片尾曲,李玉璽 (Dino Lee),https://www.kkbox.com/tw/tc/song/Aet00PmCsWnc4lEHc4lEH0XL-index.html,
說散就散 - 官方對唱,何維健，潘嘉麗,https://www.kkbox.com/tw/tc/song/5gD00HJTP0ZR2x0jR2x0j0XL-index.html,
我依然是我 (I'm Still Here) - 電視劇<我的男孩>插曲,王笠人,https://www.kkbox.com/tw/tc/song/3cX008dU74ZDg-NnDg-Nn0XL-index.html,
溫柔的奇蹟 - 電視劇《我的男孩》片頭曲,范瑋琪 (Christine Fan),https://www.kkbox.com/tw/tc/song/D.z00xmGdaI4KJ6c4KJ6c0XL-index.html,
幸褔路上 - 電影《幸福路上》主題曲,蔡依林 (Jolin Tsai),https://www.kkbox.com/tw/tc/song/DTK00SMKIaIehHvWehHvW0XL-index.html,
可樂 (Cola),林采欣 (Bae Lin),https://www.kkbox.com/tw/tc/song/Wgk00Gl889ZPgvT7PgvT70XL-index.html,
脫罪 ACQUITTAL,頑童MJ116,https://www.kkbox.com/tw/tc/song/n26005Wa6QI9a7P49a7P40XL-index.html,
因為曾經愛過 (Because We Loved) - 電影<決戰千王>推廣曲,蔡佩軒 (Ariel Tsai),https://www.kkbox.com/tw/tc/song/fo700xaKPKJ3xk7P3xk7P0XL-index.html,
耳朵,李榮浩,https://www.kkbox.com/tw/tc/song/AGl00O3QIXZZytwzZytwz0XL-index.html,
王牌冤家,李榮浩,https://www.kkbox.com/tw/tc/song/Rvj00KdM953V-EENV-EEN0XL-index.html,
什麼什麼 (Stand up) - 電影<捉妖記 2>主題曲,蔡依林 (Jolin Tsai),https://www.kkbox.com/tw/tc/song/EAp00y1GcK34qc0N4qc0N0XL-index.html,
對的人 - 電視劇<美好生活>主題曲,莊心妍,https://www.kkbox.com/tw/tc/song/hNM00aJQ6OJvEbHLvEbHL0XL-index.html,
風衣,孫燕姿 (Yanzi Sun),https://www.kkbox.com/tw/tc/song/2SO00I0DqQIScVToScVTo0XL-index.html,
致青春 (Young Guns) - 瑯琊榜3D手遊主題曲,八三夭 (831),https://www.kkbox.com/tw/tc/song/Leh00CrPk-ZK87CBK87CB0XL-index.html,
差一步,大壯 (DZ),https://www.kkbox.com/tw/tc/song/zmr0045.a-36KEor6KEor0XL-index.html,
眉飛色舞PLUS,鄭秀文+八三夭,https://www.kkbox.com/tw/tc/song/dhQ009W0kG3FVvz3FVvz30XL-index.html,
恐怖情人 (Horrifying Lover),玖壹壹,https://www.kkbox.com/tw/tc/song/jjL00C5GMDJID4YXID4YX0XL-index.html,
一千零一個願望 - 單人版,楊丞琳 (Rainie Yang),https://www.kkbox.com/tw/tc/song/qy.00T6IPUIgVevGgVevG0XL-index.html,
一愛難求 - 電視劇<扶搖>片尾曲,徐佳瑩 (LaLa Hsu),https://www.kkbox.com/tw/tc/song/4G300-aP893rEsUnrEsUn0XL-index.html,
最美的期待,南征北戰 (NZBZ),https://www.kkbox.com/tw/tc/song/dv300WJa3HJkX6RTkX6RT0XL-index.html,
奉陪,于文文 (Kelly),https://www.kkbox.com/tw/tc/song/GXw00xaKIWZ3xiUr3xiUr0XL-index.html,
就這麼錯過 - 電視劇【翻牆的記憶】片尾曲,Various Artists,https://www.kkbox.com/tw/tc/song/Lcf00WGHdSJkJg.HkJg.H0XL-index.html,
飛雲之下,韓紅 & 林俊傑,https://www.kkbox.com/tw/tc/song/w0D00D8UHWZKmYGFKmYGF0XL-index.html,
早應該 (We Should Have),李毓芬,https://www.kkbox.com/tw/tc/song/1Fe00U8Ol-Jj0P5dj0P5d0XL-index.html,
一樣的是,李佳薇 (Jess Lee),https://www.kkbox.com/tw/tc/song/QTM0066MHSnB7mbpB7mbp0XL-index.html,
B.O.,ØZI,https://www.kkbox.com/tw/tc/song/I3300C629H3IFcrZIFcrZ0XL-index.html,
如果我是你 (If I Were You),邱鋒澤 (Feng Ze),https://www.kkbox.com/tw/tc/song/Ddv00MNWsO3Zc-gBZc-gB0XL-index.html,
有太多人,高進,https://www.kkbox.com/tw/tc/song/Xmr00430Z4J69089690890XL-index.html,
後來的我們 (Here  After  Us) - （電影《後來的我們》片名曲）眼淚未乾版,五月天 (Mayday),https://www.kkbox.com/tw/tc/song/jf4008-XsOZDPq0VDPq0V0XL-index.html,
王妃 2.0,蕭敬騰 (Jam Hsiao),https://www.kkbox.com/tw/tc/song/6tG00Q2PZ13cg9m3cg9m30XL-index.html,
當每顆星星 阿信版 (Every Star (Ashin Version)),阿信 (Ashin),https://www.kkbox.com/tw/tc/song/uP600O-Kn9J.EPw5.EPw50XL-index.html,
