歌曲,歌手,連結,歌詞
星星 (Stars),陳零九 (Nine Chen),https://www.kkbox.com/tw/tc/song/jxn00-pLaDMrktkKrktkK0XL-index.html,
超能力 (Superpower),G.E.M.鄧紫棋,https://www.kkbox.com/tw/tc/song/.5l00XmX10No1bwto1bwt0XL-index.html,
戀曲2020,影子計劃 Shadow Project,https://www.kkbox.com/tw/tc/song/KGg0057555q8lK7O8lK7O0XL-index.html,
我是誰 (電視劇《狼殿下》主題曲),Various Artists,https://www.kkbox.com/tw/tc/song/Okd009rD3HMGXynWGXynW0XL-index.html,
用破碎的心修好破碎的心,持修,https://www.kkbox.com/tw/tc/song/vtb00E1QJ26Mk2mUMk2mU0XL-index.html,
笑著回家 (Return With a Smile),黃明志 (Namewee),https://www.kkbox.com/tw/tc/song/d3h00MM42DaZXwnUZXwnU0XL-index.html,
FatBoyGang,大淵MUTA,https://www.kkbox.com/tw/tc/song/dEW00S4S4GNe0EyXe0EyX0XL-index.html,
跟自己對話,李千那 (Josephine Lee),https://www.kkbox.com/tw/tc/song/aw20045a3T66KIw26KIw20XL-index.html,
小心翻閱 (Going Through) - 公視旗艦影集《天橋上的魔術師》主題曲,孫盛希 (Shi Shi),https://www.kkbox.com/tw/tc/song/3cD00LkWk66Y1YpeY1Ype0XL-index.html,
甘蔗掰掰,艾薇,https://www.kkbox.com/tw/tc/song/j1A00UI0W66jDKJQjDKJQ0XL-index.html,
因為是你 (Just Stay with Me) - 原創影集《火神的眼淚》片頭曲,韋禮安 (WeiBird),https://www.kkbox.com/tw/tc/song/umB00KHDnCbUUj0FUUj0F0XL-index.html,
規則就是用來打破的,八三夭 (831),https://www.kkbox.com/tw/tc/song/kR600WXXsWNkzE0XkzE0X0XL-index.html,
Fall in Love,Sophie Chen 陳忻玥,https://www.kkbox.com/tw/tc/song/RXz00T51OS7gQB6JgQB6J0XL-index.html,
山山,木曜4超玩,https://www.kkbox.com/tw/tc/song/Ffl00G3KaA6O3LAEO3LAE0XL-index.html,
兜轉 (Round & Round) - 《HIStory4-近距離愛上你》LINE TV片頭曲,陳勢安 (Andrew Tan),https://www.kkbox.com/tw/tc/song/tv-004WOm877CBEF7CBEF0XL-index.html,
餘地,于文文 (Kelly),https://www.kkbox.com/tw/tc/song/KCS00CqSZUMK4VxKK4VxK0XL-index.html,
忘了沒有,王靖雯不胖,https://www.kkbox.com/tw/tc/song/69L00y251La4tM5y4tM5y0XL-index.html,
請你嫁給我 (Marry Me) - HBO Asia原創影集《戒指流浪記》片頭曲,韋禮安 (WeiBird),https://www.kkbox.com/tw/tc/song/bSh00M2U8P6YjAOaYjAOa0XL-index.html,
運氣來得若有似無 (Easy Come  Easy Go),告五人 (AccuseFive),https://www.kkbox.com/tw/tc/song/YBV00UOMJ1MjaP0WjaP0W0XL-index.html,
絕美,艾薇,https://www.kkbox.com/tw/tc/song/Art00CWX0CNJ7u9xJ7u9x0XL-index.html,
與海無關 (Beyond The Sea),告五人 (AccuseFive),https://www.kkbox.com/tw/tc/song/AoX00KdMJ1MV-FBWV-FBW0XL-index.html,
依然你在,吳思賢 (小樂),https://www.kkbox.com/tw/tc/song/y8C00-lLqXMrXfkOrXfkO0XL-index.html,
無間鳥 (Little Bird) - 影視旗艦大戲《她們創業的那些鳥事》主題曲,童雲晞 (Bessy Tung),https://www.kkbox.com/tw/tc/song/7Pe00Hs4dXqSVuvKSVuvK0XL-index.html,
Tides,DIZZY DIZZO,https://www.kkbox.com/tw/tc/song/QZ700wbHn4b1cnJb1cnJb0XL-index.html,
郵票,陳芳語 (Kimberley),https://www.kkbox.com/tw/tc/song/.Ea009lS.D6GCZCYGCZCY0XL-index.html,
Bring you to life,木曜4超玩,https://www.kkbox.com/tw/tc/song/UKQ008nKaA6DupGEDupGE0XL-index.html,
我常常想起你,棉花糖 (katncandix2),https://www.kkbox.com/tw/tc/song/KsTvR00wJQMS7oFv3oFv30X4-index.html,
記得自己長得很可愛 - live版,木曜4超玩,https://www.kkbox.com/tw/tc/song/iqa00WJKaA6kVMoEkVMoE0XL-index.html,
假如我是你 (If I Were You),九九 (Sophie Chen),https://www.kkbox.com/tw/tc/song/c1000y7aIE65FeX25FeX20XL-index.html,
溜浪,玖壹壹,https://www.kkbox.com/tw/tc/song/wB600LIU05MWwg5wWwg5w0XL-index.html,
免睡殿,木曜4超玩,https://www.kkbox.com/tw/tc/song/kz000yIKaA65WxRE5WxRE0XL-index.html,
I really wanna see u now,木曜4超玩,https://www.kkbox.com/tw/tc/song/NFT00KZKaA6VD62EVD62E0XL-index.html,
那女孩對我說 (Girl Told Me),魏嘉瑩 (Arrow Wei),https://www.kkbox.com/tw/tc/song/faW00O60cLM-7oCC-7oCC0XL-index.html,
橙色的夢,Various Artists,https://www.kkbox.com/tw/tc/song/ziE00GMQL6MOp-ESOp-ES0XL-index.html,
Don't Be Afraid - 電影《白日夢外送王》主題曲 ("Cuillère" Theme Song),文慧如 (Boon Hui Lu),https://www.kkbox.com/tw/tc/song/UB100O.TpA6.J9Aq.J9Aq0XL-index.html,
送予你的歌,蕭煌奇 (Ricky Hsiao),https://www.kkbox.com/tw/tc/song/0Ar00C3QMS7I6Wh3I6Wh30XL-index.html,
混亂的台北,吳卓源 (Julia Wu),https://www.kkbox.com/tw/tc/song/onn00OOCL1M-qfok-qfok0XL-index.html,
錯季,秋原依,https://www.kkbox.com/tw/tc/song/NrFv-00w3KpT6DVE2DVE20X4-index.html,
還是回到這 (《聽不見的距離》主題曲),謝祥寅Eric 陳芳語,https://www.kkbox.com/tw/tc/song/MsL00TWDoGNhKaIHhKaIH0XL-index.html,
遺失的靈魂 (Lost Soul) - 《HIStory4-近距離愛上你》LINE TV插曲,陳勢安 (Andrew Tan),https://www.kkbox.com/tw/tc/song/yjw005LDmSN9Ggmh9Ggmh0XL-index.html,
我們美好過,邱鋒澤 (Feng Ze),https://www.kkbox.com/tw/tc/song/KDr00a5Xr.Mukor4ukor40XL-index.html,
TA,不是花火呀,https://www.kkbox.com/tw/tc/song/ZoU00T7O-E6gZxV2gZxV20XL-index.html,
我要用黑魔法把你變成一隻魚,理想混蛋 (Bestards),https://www.kkbox.com/tw/tc/song/2Wh00E20cXaMlKl2MlKl20XL-index.html,
對立面 (電視劇《狼殿下》插曲),Various Artists,https://www.kkbox.com/tw/tc/song/3fM00END3HMNfjfWNfjfW0XL-index.html,
My Love is Selfish,陳忻玥 (Vicky Chen),https://www.kkbox.com/tw/tc/song/aeP00OaUMLq.N2WW.N2WW0XL-index.html,
唯一寫過的情書 (The Love Letter) - WBL系列影集第二季《第二名的逆襲》片尾曲,周予天,https://www.kkbox.com/tw/tc/song/qnE00W3WbQMjuMzkjuMzk0XL-index.html,
Trash Talk,DIZZY DIZZO,https://www.kkbox.com/tw/tc/song/EqE00KnDoC7VmeLZVmeLZ0XL-index.html,
黃金年代 (As Time Goes By),劉若英 (Rene Liu),https://www.kkbox.com/tw/tc/song/0mZ00wrONHa2FVwu2FVwu0XL-index.html,
迷失幻境,IN-K 王忻辰,https://www.kkbox.com/tw/tc/song/bKv00XaAJP6ncdUEncdUE0XL-index.html,
一點一點,張語噥 (Sammy),https://www.kkbox.com/tw/tc/song/hVb00wNXr-q14Cik14Cik0XL-index.html,
愚人遊戲 (Fool's Paradise) - 三立/台視戲劇《戀愛是科學》片尾曲,告五人 (AccuseFive),https://www.kkbox.com/tw/tc/song/oH4008tMJ1MEHyPWEHyPW0XL-index.html,
預言,蔡黃汝 (Flo),https://www.kkbox.com/tw/tc/song/70u00KcL8PaVWGCuVWGCu0XL-index.html,
一個人 (Alone),王嘉爾 (Jackson Wang),https://www.kkbox.com/tw/tc/song/feX00CM4pXqIpxb4Ipxb40XL-index.html,
Do Do Do,Karencici,https://www.kkbox.com/tw/tc/song/Otu00K-CI0NVG5rHVG5rH0XL-index.html,
醒不來的夢,回小仙,https://www.kkbox.com/tw/tc/song/8Ev00PMEJP6b7wMib7wMi0XL-index.html,
溫蒂公主的侍衛 (Guarding You) - 三立/台視戲劇《天巡者》插曲,告五人 (AccuseFive),https://www.kkbox.com/tw/tc/song/qAq00WPMJ1MkqVxWkqVxW0XL-index.html,
Naked Truth赤裸真相,蕭亞軒 (Elva Hsiao),https://www.kkbox.com/tw/tc/song/rJ.00K19qDMTsDv4TsDv40XL-index.html,
時間・時間 (About Time) - 公視旗艦影集《天橋上的魔術師》宣傳曲,陳零九 (Nine Chen),https://www.kkbox.com/tw/tc/song/M1900G7H0XqOIGrgOIGrg0XL-index.html,
FEEL,婁峻碩,https://www.kkbox.com/tw/tc/song/V9H00GL28GNOjRwXOjRwX0XL-index.html,
Rich,Jinbo,https://www.kkbox.com/tw/tc/song/mWH00OHGs66-SSte-SSte0XL-index.html,
一分之二 (Two of One) feat. HUSH,孫盛希 (Shi Shi),https://www.kkbox.com/tw/tc/song/WIa00K4a9D6U6OQYU6OQY0XL-index.html,
